is_anomalous,category,raw_log,cpu_utilization,memory_utilization,process_count,unusual_process_executed,privilege_escalation_attempt,duration,src_bytes,dst_bytes,wrong_fragment,count,srv_count,same_srv_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,c2_beaconing_score,dns_tunneling_flag,impossible_travel,mfa_bypass,privilege_changes,login_hour,read_bytes_sec,write_bytes_sec,exfiltration_ratio
0,normal,Telemetry stream verified: Core metrics secure.,75.46,83.23,268,0,0,1.4502,911,435,0,162,136,0.9645,0.0617,171,147,0.0324,0,0,0,0,8,3045.7,1086.28,2.0943
0,normal,Telemetry stream verified: Core metrics secure.,75.72,90.2,281,0,0,1.9344,2056,908,0,157,128,0.8516,0.0059,174,165,0.0283,0,0,0,0,10,1831.28,2467.63,2.2643
0,normal,Telemetry stream verified: Core metrics secure.,82.02,88.64,272,0,0,1.0342,1972,1047,0,161,132,0.9622,0.097,171,151,0.0713,0,0,0,0,12,3617.38,1996.45,1.8835
0,normal,Telemetry stream verified: Core metrics secure.,74.91,87.33,265,0,0,1.0068,1310,62,0,164,119,0.9372,0.1361,208,147,0.0253,0,0,0,0,13,2064.7,1320.82,21.129
0,normal,Telemetry stream verified: Core metrics secure.,80.44,79.63,283,0,0,2.1709,1396,2214,0,162,144,0.9269,0.0458,167,161,0.0353,0,0,0,0,15,2251.7,2307.26,0.6305
0,normal,Telemetry stream verified: Core metrics secure.,80.09,84.89,270,0,0,1.7073,230,2650,0,158,117,0.8409,0.1154,201,129,0.1154,0,0,0,0,14,3570.05,1789.07,0.0868
0,normal,Telemetry stream verified: Core metrics secure.,77.21,85.33,281,0,0,1.7406,143,194,0,165,137,0.8683,0.1086,202,145,0.0848,0,0,0,0,13,3408.74,1322.27,0.7371
0,normal,Telemetry stream verified: Core metrics secure.,78.12,84.91,278,0,0,2.1257,163,5315,0,158,118,0.8839,0.0717,181,147,0.0199,0,0,0,0,11,3102.45,1977.01,0.0307
1,Malicious container,Docker Monitor: Container breakout detected. Local host directories mounting bypass active.,98.71,79.77,280,1,1,1.8434,722,1327,0,160,137,0.9877,0.0297,192,141,0.0772,0,0,0,0,13,2041.08,2358.31,0.5441
0,normal,Telemetry stream verified: Core metrics secure.,73.96,88.17,283,0,0,1.0038,213,1040,0,162,121,0.8917,0.1073,200,148,0.0074,0,0,0,0,17,2667.96,1923.45,0.2048
1,Lateral movement,Security Alert: Sweep port scan detected originating from internal service socket.,95.0,89.69,269,0,0,1.5885,846,224,0,219,191,0.9257,0.8946,204,169,0.0112,0,0,0,0,18,2793.06,944.82,3.7768
1,Misconfigured node,Config Auditor: Unrestricted network ingress policy open to external public scopes (0.0.0.0/0).,80.65,87.07,266,0,0,1.7939,293,409,0,160,127,0.9549,0.1071,193,136,0.012,0,0,0,1,15,2714.49,2585.44,0.7164
0,normal,Telemetry stream verified: Core metrics secure.,79.89,81.32,271,0,0,1.0379,719,1976,0,165,124,0.8212,0.0214,206,177,0.1111,0,0,0,0,12,1924.14,2416.5,0.3639
0,normal,Telemetry stream verified: Core metrics secure.,76.73,88.65,268,0,0,0.3778,114,375,0,161,115,0.9646,0.1387,161,128,0.1123,0,0,0,0,17,3298.23,1128.26,0.304
0,normal,Telemetry stream verified: Core metrics secure.,77.96,84.89,284,0,0,1.0588,395,2247,0,157,115,0.9842,0.1152,171,141,0.0633,0,0,0,0,8,2132.83,2012.2,0.1758
0,normal,Telemetry stream verified: Core metrics secure.,81.03,80.69,278,0,0,1.1572,596,376,0,158,119,0.8756,0.1177,192,131,0.118,0,0,0,0,11,3002.5,2711.82,1.5851
0,normal,Telemetry stream verified: Core metrics secure.,84.32,84.77,282,0,0,0.892,2334,1822,0,165,140,0.8743,0.1401,211,172,0.0415,0,0,0,0,17,3021.71,1819.22,1.281
0,normal,Telemetry stream verified: Core metrics secure.,83.84,80.17,278,0,0,1.3548,818,2736,0,162,114,0.8503,0.0485,178,138,0.0669,0,0,0,0,18,2578.3,1909.71,0.299
0,normal,Telemetry stream verified: Core metrics secure.,71.35,84.96,266,0,0,0.7864,131,1482,0,159,135,0.967,0.0572,182,152,0.0071,0,0,0,0,17,1781.68,831.64,0.0884
1,Malicious container,Docker Monitor: Container breakout detected. Local host directories mounting bypass active.,95.05,93.55,279,1,1,1.4375,197,1567,0,163,129,0.9303,0.0321,196,138,0.0708,0,0,0,0,17,2736.83,2020.86,0.1257
0,normal,Telemetry stream verified: Core metrics secure.,77.05,81.92,266,0,0,2.0414,209,4719,0,164,137,0.873,0.0093,184,143,0.0997,0,0,0,0,11,2257.93,1122.16,0.0443
1,Misconfigured node,Config Auditor: Unrestricted network ingress policy open to external public scopes (0.0.0.0/0).,79.98,86.69,282,0,0,0.6446,641,104,0,156,115,0.9579,0.1387,162,126,0.0031,0,0,0,1,10,3544.76,1309.6,6.1635
0,normal,Telemetry stream verified: Core metrics secure.,77.77,81.05,283,0,0,0.4684,1285,2295,0,163,137,0.9277,0.1008,181,136,0.0648,0,0,0,0,17,2032.53,1628.8,0.5599
0,normal,Telemetry stream verified: Core metrics secure.,82.96,86.62,276,0,0,1.2337,319,421,0,163,129,0.8167,0.1098,178,132,0.025,0,0,0,0,12,2918.69,1433.87,0.7577
0,normal,Telemetry stream verified: Core metrics secure.,77.31,84.67,276,0,0,1.963,457,1070,0,158,117,0.8107,0.0734,186,164,0.099,0,0,0,0,16,3254.95,2179.4,0.4271
1,Compromised VM,Integrity Alert: Local privilege escalation shell spawned by unrecognized compiler runtime.,97.98,91.47,370,1,1,0.1323,80,4222,0,165,116,0.8277,0.1056,187,134,0.1002,0,0,0,0,13,2332.28,1185.06,0.0189
1,Malicious container,Docker Monitor: Container breakout detected. Local host directories mounting bypass active.,85.14,94.41,277,1,1,1.8381,71,2068,0,159,118,0.8049,0.0281,178,134,0.008,0,0,0,0,12,2885.95,1185.35,0.0343
0,normal,Telemetry stream verified: Core metrics secure.,79.46,83.43,269,0,0,0.1865,46,270,0,156,117,0.9696,0.1351,164,169,0.0658,0,0,0,0,13,3086.37,1538.77,0.1704
0,normal,Telemetry stream verified: Core metrics secure.,78.31,80.0,284,0,0,1.9244,746,750,0,158,135,0.8222,0.1217,178,142,0.0692,0,0,0,0,9,3292.57,1255.25,0.9947
0,normal,Telemetry stream verified: Core metrics secure.,82.26,83.72,269,0,0,1.8105,444,121,0,164,144,0.9031,0.0714,173,146,0.0043,0,0,0,0,16,2068.61,1754.72,3.6694
0,normal,Telemetry stream verified: Core metrics secure.,81.85,86.46,280,0,0,1.924,206,1811,0,156,118,0.878,0.0355,166,139,0.0991,0,0,0,0,11,1744.99,1762.16,0.1137
0,normal,Telemetry stream verified: Core metrics secure.,78.51,86.39,282,0,0,0.9495,3656,2399,0,158,114,0.8372,0.0476,200,145,0.0707,0,0,0,0,9,2620.49,1229.51,1.524
